Place,Full_Address
,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
Melbourne,"Melbourne, City of Melbourne, Victoria, Australia"
Sydney,"Sydney, New South Wales, Australia"
Australia,Australia
Weekend,"Weekend, 107, Казимира Малевича вулиця, Забайків'я, Нова Забудова, Голосіївський район, Київ, Київська міська громада, 03093, Україна"
Weekly,"The Weekly, 35, Niedernstraße, Mitte, Bielefeld, Nordrhein-Westfalen, 33602, Deutschland"
US,United States
Bronte,"Bronte, Catania, Sicilia, 95034, Italia"
Kirribilli,"Kirribilli, Sydney, North Sydney Council, Lower North Shore, New South Wales, 2061, Australia"
Taylors Hill,"Taylors Hill, Cotswold, Gloucestershire, South West England, England, GL54 4BJ, United Kingdom"
Victoria,"Victoria, Australia"
Queensland,"Queensland, Australia"
Brisbane,"Brisbane City, Queensland, Australia"
Lidcombe,"Lidcombe, Church Street, Lidcombe, Sydney, Cumberland City Council, New South Wales, 2141, Australia"
Premium Content,None
China,中国
Blacktown,"Blacktown City Council, New South Wales, Australia"
Sutherland,"Sutherland, Scotland, IV27 4AD, United Kingdom"
Sydney - Blacktown,"Blacktown, Sydney, Blacktown City Council, New South Wales, 2148, Australia"
the City of Blacktown Council,"Blacktown Council, Flushcombe Road, Blacktown, Sydney, Blacktown City Council, New South Wales, 2148, Australia"
Greece,Ελλάς
Perth,"Perth, City of Perth, Western Australia, 6000, Australia"
Hong Kong,"香港島 Hong Kong Island, 香港 Hong Kong, 中国"
the British Virgin Islands,British Virgin Islands
Japan,日本
’s,대한민국
Graph,"Graph, ถนนราชวิถี ซอย 1, บ้านวิภาวดี, เชียงใหม่, อำเภอสารภี, จังหวัดเชียงใหม่, 4452, ประเทศไทย"
May.,"May, Harper County, Oklahoma, United States"
the United States,United States
South Wales,"South Wales, Wales, Erie County, New York, 14139, United States"
NSW,"New South Wales, Australia"
Dover Heights,"Dover Heights, Sydney, Waverley Council, New South Wales, 2030, Australia"
Mosman,"Mosman, Sydney, Mosman Municipal Council, Lower North Shore, New South Wales, 2088, Australia"
Paddington,"London Paddington, Praed Street, Paddington, City of Westminster, London, Greater London, England, W2 1HQ, United Kingdom"
the Unites States,"米軍キャンプ座間, 相武台入谷バイパス, 入谷西1, 明王, 座間市, 神奈川県, 252-0021, 日本"
Canterbury,"Canterbury, Kent, South East England, England, United Kingdom"
Teneriffe,"Teneriffe, Brisbane City, Queensland, 4005, Australia"
Peppermint Grove,"Peppermint Grove, Shire of Peppermint Grove, Western Australia, Australia"
Hawthorne,"Hawthorne, Los Angeles County, California, United States"
Ransome,"Ransome, Brisbane City, Queensland, Australia"
Seville Grove,"Seville Grove, City Of Armadale, Western Australia, 6112, Australia"
Canberra,"Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia"
Medowie,"Medowie, Port Stephens Council, New South Wales, 2318, Australia"
IBISWorld,None
New Zealand,New Zealand / Aotearoa
Henley,"Henley-on-Thames, South Oxfordshire, Oxfordshire, South East England, England, RG9 2AN, United Kingdom"
Sydney’s,"Sydney's, Center Street, Banker's Hill, San Diego, San Diego County, California, 92103-3607, United States"
Southport,"Southport, Sefton, North West England, England, PR8 1AH, United Kingdom"
Alphington,"Alphington, Rowe Street, Alphington, Melbourne, City of Darebin, Victoria, 3078, Australia"
Beaumont Hills,"Beaumont Hills, Sydney, The Hills Shire Council, New South Wales, 2155, Australia"
West Busselton,"West Busselton, City Of Busselton, Western Australia, Australia"
QLD,"Queensland, Australia"
UK,United Kingdom
Curb,"CURB, Quartier Châtelet / Lombardie / Sapins, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France"
Outdoor,"Outdoor, 35a, Glower Straße, Sagard, Nord-Rügen, Vorpommern-Rügen, Mecklenburg-Vorpommern, 18551, Deutschland"
Brighton,"Brighton, Brighton and Hove, South East England, England, United Kingdom"
Bumimba,None
Mount Waverley,"Mount Waverley, Waverley Rail Trail, Mount Waverley, Melbourne, City of Monash, Victoria, 3149, Australia"
Poseidon,"Poseidon, Europa-Park-Straße, Rust, Verwaltungsgemeinschaft Ettenheim, Ortenaukreis, Baden-Württemberg, 77977, Deutschland"
Holland,Nederland
Shanghai,"上海市, 黄浦区, 上海市, 200001, 中国"
Bubbles,"The Bubbles, Mount Desert, Hancock County, Maine, 04609, United States"
London,"London, Greater London, England, United Kingdom"
New York,"New York, United States"
Australia’s,"Αυστραλίας, Μασταμπάς, Ηράκλειο, Δημοτική Κοινότητα Ἡρακλείου, Δήμος Ηρακλείου, Περιφερειακή Ενότητα Ηρακλείου, Περιφέρεια Κρήτης, Αποκεντρωμένη Διοίκηση Κρήτης, 71305, Ελλάς"
Smithfield,"Smithfield, Johnston County, North Carolina, 27577, United States"
Keeping,"Keeping, Rua do Poço, Galegos (Santa Maria), Barcelos, Braga, Cávado, Norte, 4750-462, Portugal"
Paris,"Paris, Île-de-France, France métropolitaine, France"
Russia,Россия
Palmerston,"Palmerston, Kūki 'Āirani"
Germany,Deutschland
Alkimos,"Alkimos, City Of Wanneroo, Western Australia, 6038, Australia"
Kelmscott,"Kelmscott, West Oxfordshire, Oxfordshire, South East England, England, GL7 3, United Kingdom"
Perth CBD,"Cespresso CBD West, 996, Hay Street, Perth, City of Perth, Western Australia, 6000, Australia"
Perth’s,"Perth's Grove, Priory Gate Estate, Preston, Prestonpans, East Lothian, Scotland, EH32 9FD, United Kingdom"
Cornubia,"Cornubia, Logan City, Queensland, 4130, Australia"
the Resource States,"The Resource, North Talbert Boulevard, South Cecil, Lexington, Davidson County, North Carolina, 27792, United States"
Britain,United Kingdom
United Kingdom,United Kingdom
Adelaide,"Adelaide, Adelaide City Council, South Australia, Australia"
Perth Houses,None
Helps,"Helps, Spalding Township, Menominee County, Michigan, United States"
Tas,"Tasmania, Australia"
Negotiates,None
DSRData.com.au,None
Lowe,"Lowell National Historical Park, The Acre, Lowell, Middlesex County, Massachusetts, United States"
Tasmania,"Tasmania, Australia"
Asquith,"Asquith, Saskatchewan, S0K 0J0, Canada"
Hobart,"Hobart, City of Hobart, Tasmania, Australia"
SA,대한민국
Vic,"Victoria, Australia"
Aussie,"Aussie, Sydney Road, Balgowlah, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2093, Australia"
Sweden,Sverige
Switzerland,Schweiz/Suisse/Svizzera/Svizra
Ichthys,"Ichthys, 1, Vor dem Harret, Eningen unter Achalm, Engstingen, Landkreis Reutlingen, Baden-Württemberg, 72800, Deutschland"
Reserve Bank,"Reserve Bank, Hannover Avenue, Blantyre, Southern Region, Malawi"
the United Kingdom,United Kingdom
Belgium,België / Belgique / Belgien
Italy,Italia
Portugal,Portugal
Spain,España
U.S.,"U.S., State Highway 55, Sunny Waters, Town of Wolf River, Langlade County, Wisconsin, 54462, United States"
US70c,None
GST,"Geodatastyrelsen, Lindholm Brygge, Lindholm, Aalborg, Aalborg Kommune, Region Nordjylland, 9400, Danmark"
Value Ratio,"Ratio, Phillips County, Arkansas, United States"
Boddington,"Shire Of Boddington, Western Australia, 6390, Australia"
CBD,"Car Nicobar Air Force Station, Car Nicobar, Nicobar, Andaman and Nicobar Islands, India"
Penrith,"Penrith, Eden, Cumbria, North West England, England, United Kingdom"
Scarborough,"Scarborough, North Yorkshire, Yorkshire and the Humber, England, United Kingdom"
Sunshine State,"Sunshine, Sunshine Footscray, Sunshine, Melbourne, City of Brimbank, Victoria, 3022, Australia"
Wayville,"Wayville, Town of Stillwater, Saratoga County, New York, United States"
West Croydon,"West Croydon, Station Road, Broad Green, London Borough of Croydon, London, Greater London, England, CR0 2TA, United Kingdom"
West Leederville,"West Leederville, Town Of Cambridge, Western Australia, Australia"
Newtown,"Newtown, Powys, Cymru / Wales, SY16 1AQ, United Kingdom"
Moorooka,"Moorooka, Brisbane City, Queensland, 4105, Australia"
Goodwood,"Goodwood, Thruxton, Test Valley, Hampshire, South East England, England, SP11 8PW, United Kingdom"
Ireland,Éire / Ireland
Florida,"Florida, United States"
Singapore,Singapore
Tokyo,"東京都, 日本"
Helensvale,"Helensvale, Gold Coast City, Queensland, 4212, Australia"
Logan,"Logan County, Illinois, United States"
Newcastle,"Newcastle upon Tyne, Tyne and Wear, North East England, England, United Kingdom"
Robina,"La Robine-sur-Galabre, Digne-les-Bains, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur, France métropolitaine, 04000, France"
The City of Logan,"Logan County, Illinois, United States"
Wollongong,"Wollongong City Council, New South Wales, Australia"
the City of Gosford,"Gosford, Central Coast Council, New South Wales, 2250, Australia"
The City of Shellharbour,"Shellharbour City Council, New South Wales, Australia"
Beenleigh,"Beenleigh, Alamein Street, Beenleigh, Logan City, Queensland, 4207, Australia"
Winston Hills,"Winston Hills, Sydney, City of Parramatta Council, New South Wales, 2153, Australia"
Henley Beach,"Henley Beach, Adelaide, City of Charles Sturt, South Australia, 5022, Australia"
Gross State Product,"Universal Plastic Product and Recycling Ltd, Kwame Nkrumah Motorway, Ashaiman, Greater Accra Region, Ghana"
Capital city,"Capital City, Aguascalientes, Municipio de Aguascalientes, Aguascalientes, 20218, México"
Sydney CBD,"Sydney, Council of the City of Sydney, New South Wales, 2000, Australia"
Yarraville,"Yarraville, Canterbury Street, Yarraville, Melbourne, City of Maribyrnong, Victoria, 3013, Australia"
Port Douglas,"Port Douglas, Douglas Shire, Queensland, 4877, Australia"
Quarterly,"Quarterly Parkway, Wedgefield, Orange County, Florida, United States"
Joint Venture,"Joint Venture, Union County, Georgia, 30512, United States"
Suburb,"Suburb, Brunswick County, North Carolina, 28422, United States"
WA,"Washington, United States"
Badgerys Creek,"Badgerys Creek, Sydney, Liverpool City Council, New South Wales, 2555, Australia"
Bellevue Hill,"Bellevue Hill, Sydney, Woollahra Municipal Council, New South Wales, 2023, Australia"
Gordon,"Gourdon, Lot, Occitanie, France métropolitaine, 46300, France"
North Sydney,"North Sydney, Sydney, North Sydney Council, Lower North Shore, New South Wales, 2060, Australia"
Kogarah,"Kogarah, Sydney, Georges River Council, St George, New South Wales, 2217, Australia"
Warringah,"Warringah, Blackall, Blackall Tambo Regional, Queensland, Australia"
Malaysia,Malaysia
Indonesia,Indonesia
USA,United States
Cross,"Cross County, Arkansas, United States"
Wakefield,"Wakefield, West Yorkshire, Yorkshire and the Humber, England, United Kingdom"
Launceston,"Launceston, City of Launceston, Tasmania, 7250, Australia"
Mobile,"Mobile, Mobile County, Alabama, United States"
VR,"Verona, Veneto, Italia"
Virtual,"Виртуаль, 14, проспект Ленина, Подольск, городской округ Подольск, Московская область, Центральный федеральный округ, 142100, Россия"
Washington,"Washington, District of Columbia, United States"
Charts,"Charts, 63, Quayside, Shieldfield, Newcastle upon Tyne, Tyne and Wear, North East England, England, NE1 3DE, United Kingdom"
North West Sydney,"North Sydney, Sydney, North Sydney Council, Lower North Shore, New South Wales, 2060, Australia"
Hornsby,"The Council of the Shire of Hornsby, New South Wales, Australia"
Baulkham Hills,"Baulkham Hills, Sydney, The Hills Shire Council, New South Wales, 2153, Australia"
Interest,"Interest, 1, Tischbergerstraße, Bad Bergzabern, Landkreis Südliche Weinstraße, Rheinland-Pfalz, 76887, Deutschland"
Interest Only,None
East Arnhem,"East Arnhem Region, Northern Territory, 0855, Australia"
Pilbara,"Shire Of East Pilbara, Western Australia, Australia"
Torres Straight Islands,None
South Hedland,"South Hedland, Town Of Port Hedland, Western Australia, 6722, Australia"
Mill Park,"Mill Park District, Mill Park, Melbourne, City of Whittlesea, Victoria, 3082, Australia"
Craigieburn,"Craigieburn, Craigieburn Road East, Craigieburn, Roxburgh Park, Melbourne, City of Hume, Victoria, 3064, Australia"
Randwick,"Randwick City Council, New South Wales, Australia"
Zuccoli,"Zuccoli, City of Palmerston, Northern Territory, Australia"
Port Macquarie,"Port Macquarie, Port Macquarie-Hastings Council, New South Wales, 2444, Australia"
Queenscliffe,"Queenscliffe, 69, North Marine Road, Newlands, The Old Town, Scarborough, North Yorkshire, Yorkshire and the Humber, England, YO12 7HT, United Kingdom"
Richmond,"Richmond, Virginia, United States"
Wahroonga,"Wahroonga, Sydney, Ku-ring-gai Council, Upper North Shore, New South Wales, 2076, Australia"
Brisbane 18th,"18th Dam, Wynnum, Brisbane City, Queensland, Australia"
Canada,Canada
Investment,"Investment, SSS Employees Housing Project, North Fairview, 5th District, Quezon City, Second District, Metro Manila, 1118, Luzon"
Whatsapp,"El Whatsapp, Avenida General Novoa, Lagos de Chile, Concepción, Provincia de Concepción, Región del Biobío, 4050044, Chile"
Messenger,"The Messenger, The Quadrant, London Borough of Sutton, London, Greater London, England, SM2 5FJ, United Kingdom"
LinkedIn,"LinkedIn, 222, 2nd Street, Transbay, San Francisco, San Francisco City and County, California, 94105, United States"
Regional,"Regional, Mar del Plata, Partido de General Pueyrredón, Buenos Aires, Argentina"
Gen Xers,None
Brisbane’s,"Brisbanes Bay, West Coast, Tasmania, Australia"
Cannon Hill,"Cannon Hill, Chatham, Barnstable County, Massachusetts, 02650, United States"
Queenslander,"Queenslander, Forsayth, Etheridge Shire, Queensland, Australia"
North West,Norge
the Hills District,"The Hills, Thaba-Tseka District, Lesotho"
Wyndham,"Wyndham, Shire Of Wyndham-East Kimberley, Western Australia, Australia"
Spring/,"Spring, Harris County, Texas, 77373, United States"
Nov-17,"17, Bridgewater Township, Somerset County, New Jersey, United States"
REEDY,"Reedy, Roane County, West Virginia, United States"
South Australia,"South Australia, Australia"
Reedy Creek,"Reedy Creek, Poinciana, Reedy Creek Improvement District, Osceola County, Florida, 34747, United States"
Byron Bay,"Byron Bay, Byron Shire Council, New South Wales, 2481, Australia"
Cockatoo,"Cockatoo, Melbourne, Shire of Cardinia, Victoria, 3781, Australia"
Cottesloe,"Cottesloe, Town of Cottesloe, Western Australia, 6011, Australia"
Cranbourne,"Cranbourne, Bracknell Forest, South East England, England, SL4 2FA, United Kingdom"
Melton,"Melton, Leicestershire, East Midlands, England, United Kingdom"
the Dandenong Ranges in Victoria,"Dandenong Ranges Botanic Garden, Predator Track, Olinda, Melbourne, Shire of Yarra Ranges, Victoria, 3788, Australia"
Darwin,"Darwin, City of Darwin, Northern Territory, 0800, Australia"
San Francisco,"San Francisco, San Francisco City and County, California, United States"
Gungahlin,"District of Gungahlin, Australian Capital Territory, Australia"
North Gosford,"North Gosford, Central Coast Council, New South Wales, 2250, Australia"
Alice Springs,"Alice Springs, Town of Alice Springs, Northern Territory, Australia"
Ballarat,"Ballarat, City of Ballarat, Victoria, 3350, Australia"
Merredin,"Shire Of Merredin, Western Australia, 6415, Australia"
Bondi Beach,"Bondi Beach, Sydney, Waverley Council, New South Wales, 2026, Australia"
Easter,"Easter, Castro County, Texas, United States"
Wellington,"Wellington, Wellington City, Wellington, 6011, New Zealand / Aotearoa"
Perth Values,None
Hollywood,"Hollywood, Los Angeles, Los Angeles County, California, 90028-8127, United States"
Cisco,"Cisco, Eastland County, Texas, United States"
Perth City,"Perth, City of Perth, Western Australia, 6000, Australia"
Preston,"Preston, Lancashire, North West England, England, United Kingdom"
ACT,"Australian Capital Territory, Australia"
Capital Region,"Höfuðborgarsvæðið, Ísland"
Illawarra,"Illawarra, New South Wales, Australia"
Dallas,"Dallas, Dallas County, Texas, United States"
Greater Brisbane,"Breyer Group Stadium, Breyer  Group Stadium, Brisbane Road, Leyton, London Borough of Waltham Forest, London, Greater London, England, E10 5NF, United Kingdom"
Trough,"Trough, Cloghera ED, Killaloe Municipal District, County Clare, Munster, Éire / Ireland"
Values,"Валюш, Жемчужненский сельский Совет, Барановичский район, Брестская область, Беларусь"
Tallwoods Village,"Tallwoods Village, Mid-Coast Council, New South Wales, 2430, Australia"
Clermont,"Clermont, Oise, Hauts-de-France, France métropolitaine, 60600, France"
Burswood,"Burswood, Town of Victoria Park, Western Australia, 6100, Australia"
Berwick,"Berwick-upon-Tweed, Northumberland, North East England, England, United Kingdom"
Pakenham,"Pakenham, Railway Avenue, Pakenham, Melbourne, Shire of Cardinia, Victoria, 3810, Australia"
Werribee,"Werribee, Melbourne, City of Wyndham, Victoria, 3030, Australia"
the City of Nedlands,"City of Nedlands, Western Australia, Australia"
North Fremantle,"North Fremantle, City of Fremantle, Western Australia, 6159, Australia"
City Beach,"City Beach, Town Of Cambridge, Western Australia, 6015, Australia"
West Gippsland,"Gippsland, Victoria, Australia"
the City of Melville,"City Of Melville, Western Australia, Australia"
Altona Beach,"Altona Beach, Altona, Seaholme, Melbourne, City of Hobsons Bay, Victoria, 3018, Australia"
Sunshine,"Sunshine, Sunshine Footscray, Sunshine, Melbourne, City of Brimbank, Victoria, 3022, Australia"
Bondi Junction,"Bondi Junction, Sydney, Waverley Council, New South Wales, 2022, Australia"
Wattle Grove,"Wattle Grove, Sydney, Liverpool City Council, New South Wales, 2173, Australia"
Wanneroo,"City Of Wanneroo, Western Australia, Australia"
Underwood,"Underwood, Pottawattamie County, Iowa, United States"
South Perth,"South Perth, City of South Perth, Western Australia, 6151, Australia"
Caroline Springs,"Caroline Springs, Melbourne, City of Melton, Victoria, Australia"
Cairnlea,"Cairnlea, Melbourne, City of Brimbank, Victoria, 3023, Australia"
Boroonda,"Boroonda, Pipar City Tehsil, Jodhpur District, Rajasthan, India"
Airdna,None
Bundaberg,"Bundaberg, Bundaberg Region, Queensland, Australia"
Great Lakes,"Great Lakes, North Chicago, Lake County, Illinois, 60088, United States"
Maryborough,"Maryborough, Fraser Coast Regional, Queensland, 4650, Australia"
Nambucca,"Nambucca, 596, Holloway Road, Lower Holloway, London Borough of Islington, London, Greater London, England, N7 8JE, United Kingdom"
Townsville,"Townsville, Townsville City, Queensland, 4810, Australia"
Orana,"Oran ⵡⴻⵀⵔⴰⵏ وهران, دائرة وهران, Oran ⵡⴻⵀⵔⴰⵏ وهران, Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر"
Riverina,"Riverina, Footscray, Melbourne, City of Maribyrnong, Victoria, 3011, Australia"
Hunter Valley,"Hunter Valley, Apex, Wake County, North Carolina, United States"
Lake Macquarie,"Lake Macquarie, Rathmines, Lake Macquarie City Council, New South Wales, 2283, Australia"
Bendigo,"Bendigo, City of Greater Bendigo, Victoria, 3550, Australia"
Chicago,"Chicago, Cook County, Illinois, United States"
Seattle,"Seattle, King County, Washington, United States"
Spring,"Spring, Harris County, Texas, 77373, United States"
Wiley Park,"Wiley Park, Sydney, Canterbury-Bankstown Council, New South Wales, 2195, Australia"
Perth’s West Leaderville,None
Nightcliff,"Nightcliff, City of Darwin, Northern Territory, Australia"
Kalgoorlie Street,"Kalgoorlie Street, Pimpama, Gold Coast City, Queensland, 4209, Australia"
Gladesville,"Gladesville, Sydney, Council of the City of Ryde, New South Wales, 2111, Australia"
Rose Park,"Rose Park, Adelaide, City of Burnside, South Australia, 5067, Australia"
North Beach,"North Beach, San Francisco, San Francisco City and County, California, 94133, United States"
Unley Park,"Unley Park, Adelaide, City of Unley, South Australia, 5061, Australia"
